№ п/п;Штрих-код партии;Наименование товара;Поставщик;Дата приходного документа;Номер приходного документа;Дата накладной;Номер накладной;Кол-во;Сумма в закупочных ценах без НДС;Ставка НДС поставщика;Сумма НДС;Сумма в закупочных ценах с НДС
215;2,01147E+11;Товар_1211;ЗАО «Сафонова, Белозерова и Кузьмин»;03.07.2021;4046394.49706856;11.08.2021;nn-286/15;0.040917209;39.09;20.0;26.66;46.48
2566;2,0084E+11;Товар_2714;Карпов Лимитед;26.09.2021;2727032.194655633;20.09.2021;nn-287/15;8.517813823;152.47;20.0;30.88;179.26
1795;2,00213E+11;Товар_3596;Шубина Лтд;05.10.2021;2000624.955535396;30.10.2021;nn-288/15;0.701694772;361.09;10.0;июл.47;407.18
2674;2,00165E+11;Товар_4822;ИП «Ларионова»;14.05.2021;2000020.8511425776;30.03.2021;nn-289/15;1.440814884;134.45;20.0;13.79;152.0
392;2,00803E+11;Товар_1473;Новиков Лимитед;21.08.2021;2416394.410143735;28.07.2021;nn-290/15;0.735421249;41.86;20.0;13.56;48.3
2225;2,00609E+11;Товар_2238;ООО «Белоусов»;10.07.2021;2214403.1452835305;06.07.2021;nn-291/15;0.829079459;1946.66;10.0;203.33;2217.92
1826;2,00201E+11;Товар_843;ЗАО «Гаврилов-Зуев»;26.09.2020;2000068.643839723;21.02.2021;nn-292/15;2.661144082;179.64;10.0;46.67;211.91
64;2,0155E+11;Товар_4133;Самойлова Инк;25.01.2021;16000840.8;18.12.2020;nn-293/15;0.075855911;1129.83;20.0;108.92;1290.25
448;2,01379E+11;Товар_4765;ЗАО «Юдина, Субботина и Пестов»;16.06.2021;9222605.240748474;28.06.2021;nn-294/15;0.203290339;311.5;10.0;17.фев;327.22
4166;2,01582E+11;Товар_4934;Нестерова Лтд;02.10.2021;16000840.8;29.10.2021;nn-295/15;5.292647923;522.43;10.0;56.78;596.07
3842;2,00189E+11;Товар_2385;Национальная медиа группа;15.10.2021;2000043.3954643449;10.11.2021;nn-296/15;11.230552028;989.56;10.0;38.95;1081.75
